,Open,High,Low,Close
0,6602.5,6602.5,6602.5,6602.5
1,6602.5,6602.5,6602.5,6602.5
2,6603.0,6603.0,6603.0,6603.0
3,6602.5,6602.5,6602.5,6602.5
4,6603.0,6603.0,6603.0,6603.0
5,6602.5,6602.5,6602.5,6602.5
6,6602.5,6602.5,6602.5,6602.5
7,6603.0,6603.0,6603.0,6603.0
8,6603.0,6603.0,6603.0,6603.0
9,6602.5,6602.5,6602.5,6602.5
10,6603.0,6603.0,6603.0,6603.0
11,6603.0,6603.0,6603.0,6603.0
12,6602.5,6602.5,6602.5,6602.5
13,6603.0,6603.0,6603.0,6603.0
14,6602.5,6602.5,6602.5,6602.5
15,6603.0,6603.0,6603.0,6603.0
16,6603.0,6603.0,6603.0,6603.0
17,6603.0,6603.0,6603.0,6603.0
18,6603.0,6603.0,6603.0,6603.0
19,6603.0,6603.0,6603.0,6603.0
20,6603.0,6603.0,6603.0,6603.0
21,6603.0,6603.0,6603.0,6603.0
22,6602.5,6602.5,6602.5,6602.5
23,6602.5,6602.5,6602.5,6602.5
24,6603.0,6603.0,6603.0,6603.0
25,6603.0,6603.0,6603.0,6603.0
26,6603.0,6603.0,6603.0,6603.0
27,6602.5,6602.5,6602.5,6602.5
28,6602.5,6602.5,6602.5,6602.5
29,6603.0,6603.0,6603.0,6603.0
30,6602.5,6602.5,6602.5,6602.5
31,6602.5,6602.5,6602.5,6602.5
32,6602.5,6602.5,6602.5,6602.5
33,6602.5,6602.5,6602.5,6602.5
34,6602.5,6602.5,6602.5,6602.5
35,6603.0,6603.0,6603.0,6603.0
36,6602.5,6602.5,6602.5,6602.5
37,6603.0,6603.0,6603.0,6603.0
38,6603.0,6603.0,6603.0,6603.0
39,6603.0,6603.0,6603.0,6603.0
40,6602.5,6602.5,6602.5,6602.5
41,6603.0,6603.0,6603.0,6603.0
42,6602.5,6602.5,6602.5,6602.5
43,6603.0,6603.0,6603.0,6603.0
44,6603.0,6603.0,6603.0,6603.0
45,6603.0,6603.0,6603.0,6603.0
46,6603.0,6603.0,6603.0,6603.0
47,6602.5,6602.5,6602.5,6602.5
48,6602.5,6602.5,6602.5,6602.5
49,6603.0,6603.0,6603.0,6603.0
50,6603.0,6603.0,6603.0,6603.0
51,6603.0,6603.0,6603.0,6603.0
52,6602.5,6602.5,6602.5,6602.5
53,6603.0,6603.0,6603.0,6603.0
54,6602.5,6602.5,6602.5,6602.5
55,6602.0,6602.0,6602.0,6602.0
56,6602.0,6602.0,6602.0,6602.0
57,6602.0,6602.0,6602.0,6602.0
58,6602.0,6602.0,6602.0,6602.0
59,6602.5,6602.5,6602.5,6602.5
60,6602.0,6602.0,6602.0,6602.0
61,6602.5,6602.5,6602.5,6602.5
62,6602.5,6602.5,6602.5,6602.5
63,6602.5,6602.5,6602.5,6602.5
64,6602.0,6602.0,6602.0,6602.0
65,6602.0,6602.0,6602.0,6602.0
66,6602.0,6602.0,6602.0,6602.0
67,6602.5,6602.5,6602.5,6602.5
68,6602.0,6602.0,6602.0,6602.0
69,6602.0,6602.0,6602.0,6602.0
70,6602.5,6602.5,6602.5,6602.5
71,6602.0,6602.0,6602.0,6602.0
72,6602.0,6602.0,6602.0,6602.0
73,6602.0,6602.0,6602.0,6602.0
74,6602.0,6602.0,6602.0,6602.0
75,6602.0,6602.0,6602.0,6602.0
76,6602.5,6602.5,6602.5,6602.5
77,6602.5,6602.5,6602.5,6602.5
78,6602.0,6602.0,6602.0,6602.0
79,6602.0,6602.0,6602.0,6602.0
80,6602.5,6602.5,6602.5,6602.5
81,6602.0,6602.0,6602.0,6602.0
82,6602.5,6602.5,6602.5,6602.5
83,6602.0,6602.0,6602.0,6602.0
84,6602.0,6602.0,6602.0,6602.0
85,6602.5,6602.5,6602.5,6602.5
86,6602.5,6602.5,6602.5,6602.5
87,6602.0,6602.0,6602.0,6602.0
88,6602.5,6602.5,6602.5,6602.5
89,6602.0,6602.0,6602.0,6602.0
90,6602.0,6602.0,6602.0,6602.0
91,6602.0,6602.0,6602.0,6602.0
92,6602.0,6602.0,6602.0,6602.0
93,6602.0,6602.0,6602.0,6602.0
94,6602.0,6602.0,6602.0,6602.0
95,6602.0,6602.0,6602.0,6602.0
96,6602.0,6602.0,6602.0,6602.0
97,6602.5,6602.5,6602.5,6602.5
98,6602.0,6602.0,6602.0,6602.0
99,6602.0,6602.0,6602.0,6602.0
100,6602.0,6602.0,6602.0,6602.0
101,6601.5,6601.5,6601.5,6601.5
102,6601.5,6601.5,6601.5,6601.5
103,6600.0,6600.0,6600.0,6600.0
104,6599.5,6599.5,6599.5,6599.5
105,6598.0,6598.0,6598.0,6598.0
106,6598.0,6598.0,6598.0,6598.0
107,6596.0,6596.0,6596.0,6596.0
108,6593.0,6593.0,6593.0,6593.0
109,6592.5,6592.5,6592.5,6592.5
110,6592.0,6592.0,6592.0,6592.0
111,6592.0,6592.0,6592.0,6592.0
112,6592.0,6592.0,6592.0,6592.0
113,6590.0,6590.0,6590.0,6590.0
114,6591.5,6591.5,6591.5,6591.5
115,6589.0,6589.0,6589.0,6589.0
116,6588.5,6588.5,6588.5,6588.5
117,6588.0,6588.0,6588.0,6588.0
118,6587.0,6587.0,6587.0,6587.0
119,6587.0,6587.0,6587.0,6587.0
120,6587.0,6587.0,6587.0,6587.0
121,6586.0,6586.0,6586.0,6586.0
122,6586.0,6586.0,6586.0,6586.0
123,6586.5,6586.5,6586.5,6586.5
124,6588.0,6588.0,6588.0,6588.0
125,6580.0,6580.0,6580.0,6580.0
126,6578.0,6578.0,6578.0,6578.0
127,6578.5,6578.5,6578.5,6578.5
128,6578.0,6578.0,6578.0,6578.0
129,6578.0,6578.0,6578.0,6578.0
130,6578.5,6578.5,6578.5,6578.5
131,6570.5,6570.5,6570.5,6570.5
132,6570.0,6570.0,6570.0,6570.0
133,6570.0,6570.0,6570.0,6570.0
134,6570.0,6570.0,6570.0,6570.0
135,6578.5,6578.5,6578.5,6578.5
136,6586.0,6586.0,6586.0,6586.0
137,6586.0,6586.0,6586.0,6586.0
138,6570.0,6570.0,6570.0,6570.0
139,6570.5,6570.5,6570.5,6570.5
140,6570.5,6570.5,6570.5,6570.5
141,6579.5,6579.5,6579.5,6579.5
142,6580.5,6580.5,6580.5,6580.5
143,6583.0,6583.0,6583.0,6583.0
144,6585.5,6585.5,6585.5,6585.5
145,6585.5,6585.5,6585.5,6585.5
146,6586.0,6586.0,6586.0,6586.0
147,6586.5,6586.5,6586.5,6586.5
148,6586.5,6586.5,6586.5,6586.5
149,6586.0,6586.0,6586.0,6586.0
150,6591.5,6591.5,6591.5,6591.5
151,6592.5,6592.5,6592.5,6592.5
152,6595.5,6595.5,6595.5,6595.5
153,6592.0,6592.0,6592.0,6592.0
154,6592.0,6592.0,6592.0,6592.0
155,6587.0,6587.0,6587.0,6587.0
156,6587.0,6587.0,6587.0,6587.0
157,6587.0,6587.0,6587.0,6587.0
158,6587.5,6587.5,6587.5,6587.5
159,6587.5,6587.5,6587.5,6587.5
160,6587.0,6587.0,6587.0,6587.0
161,6587.0,6587.0,6587.0,6587.0
162,6587.0,6587.0,6587.0,6587.0
163,6587.0,6587.0,6587.0,6587.0
164,6587.0,6587.0,6587.0,6587.0
165,6586.5,6586.5,6586.5,6586.5
166,6587.0,6587.0,6587.0,6587.0
167,6586.5,6586.5,6586.5,6586.5
168,6587.0,6587.0,6587.0,6587.0
169,6586.5,6586.5,6586.5,6586.5
170,6587.0,6587.0,6587.0,6587.0
171,6587.0,6587.0,6587.0,6587.0
172,6586.5,6586.5,6586.5,6586.5
173,6586.5,6586.5,6586.5,6586.5
174,6587.0,6587.0,6587.0,6587.0
175,6587.0,6587.0,6587.0,6587.0
176,6587.0,6587.0,6587.0,6587.0
177,6587.0,6587.0,6587.0,6587.0
178,6587.0,6587.0,6587.0,6587.0
179,6587.0,6587.0,6587.0,6587.0
180,6587.0,6587.0,6587.0,6587.0
181,6587.5,6587.5,6587.5,6587.5
182,6587.5,6587.5,6587.5,6587.5
183,6587.5,6587.5,6587.5,6587.5
184,6588.0,6588.0,6588.0,6588.0
185,6588.0,6588.0,6588.0,6588.0
186,6588.0,6588.0,6588.0,6588.0
187,6588.0,6588.0,6588.0,6588.0
188,6588.0,6588.0,6588.0,6588.0
189,6588.5,6588.5,6588.5,6588.5
190,6589.5,6589.5,6589.5,6589.5
191,6589.5,6589.5,6589.5,6589.5
192,6589.5,6589.5,6589.5,6589.5
193,6589.5,6589.5,6589.5,6589.5
194,6589.0,6589.0,6589.0,6589.0
195,6589.5,6589.5,6589.5,6589.5
196,6589.5,6589.5,6589.5,6589.5
197,6589.0,6589.0,6589.0,6589.0
198,6589.5,6589.5,6589.5,6589.5
199,6589.5,6589.5,6589.5,6589.5
200,6589.0,6589.0,6589.0,6589.0
201,6589.5,6589.5,6589.5,6589.5
202,6589.5,6589.5,6589.5,6589.5
203,6589.5,6589.5,6589.5,6589.5
204,6590.0,6590.0,6590.0,6590.0
205,6590.0,6590.0,6590.0,6590.0
206,6591.0,6591.0,6591.0,6591.0
207,6591.5,6591.5,6591.5,6591.5
208,6593.0,6593.0,6593.0,6593.0
209,6593.0,6593.0,6593.0,6593.0
210,6593.5,6593.5,6593.5,6593.5
211,6593.5,6593.5,6593.5,6593.5
212,6593.5,6593.5,6593.5,6593.5
213,6593.5,6593.5,6593.5,6593.5
214,6593.5,6593.5,6593.5,6593.5
215,6593.5,6593.5,6593.5,6593.5
216,6593.5,6593.5,6593.5,6593.5
217,6593.5,6593.5,6593.5,6593.5
218,6593.5,6593.5,6593.5,6593.5
219,6593.5,6593.5,6593.5,6593.5
220,6593.5,6593.5,6593.5,6593.5
221,6593.0,6593.0,6593.0,6593.0
222,6593.5,6593.5,6593.5,6593.5
223,6593.5,6593.5,6593.5,6593.5
224,6593.5,6593.5,6593.5,6593.5
225,6593.5,6593.5,6593.5,6593.5
226,6593.5,6593.5,6593.5,6593.5
227,6593.0,6593.0,6593.0,6593.0
228,6593.5,6593.5,6593.5,6593.5
229,6593.0,6593.0,6593.0,6593.0
230,6593.5,6593.5,6593.5,6593.5
